utt_keys,utterance,emotion,v,a,d,emo_evo,start,end
Ses03M_script01_3_M009,,xxx,4.5,3.5,3.5,"[['exc'], ['hap'], ['exc', 'hap']]",96.826,104.306
Ses03M_script01_3_M010,,hap,4,4,3.5,"[['fru'], ['hap'], ['hap']]",105.7454,108.1442
Ses03M_script01_3_F012,,hap,4,3.5,2,"[['hap'], ['hap'], ['hap']]",93.5331,96.4335
Ses03M_script01_3_M011,,xxx,4.5,3.5,4,"[['exc'], ['hap'], ['exc', 'hap']]",108.2968,113.7924
Ses03M_script01_3_M012,,xxx,3.5,4,4,"[['exc'], ['hap'], ['exc', 'hap']]",113.8578,124.095
Ses03M_script01_3_M013,,xxx,2,3,4,"[['exc'], ['hap'], ['neu']]",124.1675,130.2572
Ses03M_script01_3_F013,,hap,3.5,4,3.5,"[['exc'], ['hap'], ['hap']]",129.4285,133.1025
Ses03M_script01_3_M014,,xxx,2.5,2.5,3,"[['exc'], ['sad'], ['neu']]",132.4379,135.7091
Ses03M_script01_3_F014,,hap,3,3.5,3,"[['exc'], ['hap'], ['hap']]",135.2293,138.7622
Ses03M_script01_3_M015,,xxx,2.5,2.5,2.5,"[['fea'], ['sad'], ['neu']]",138.0643,140.485
Ses03M_script01_3_F015,,hap,3.5,2.5,2.5,"[['exc'], ['hap'], ['hap']]",140.6812,143.56
Ses03M_script01_3_M016,,hap,4,3,2.5,"[['exc'], ['hap'], ['hap']]",143.6775,146.3948
Ses03M_script01_3_F016,,hap,4,3.5,3,"[['exc'], ['hap'], ['hap']]",145.5879,147.9868
Ses03M_script01_3_M017,,xxx,3.5,2.5,3,"[['exc'], ['neu'], ['hap']]",148.074,151.2361
Ses03M_script01_3_F017,,hap,4,4,3,"[['hap'], ['hap'], ['hap']]",151.3888,158.5199
Ses03M_script01_3_F018,,hap,4,2.5,3,"[['hap'], ['hap'], ['neu']]",158.6725,162.3362
Ses03M_script01_3_M018,,hap,4,2,4,"[['exc'], ['hap'], ['hap']]",162.7288,168.8567
Ses03M_script01_3_M019,,exc,4.5,3.5,4,"[['exc'], ['exc'], ['exc', 'hap']]",170.19,177.5798
Ses03M_script01_3_F019,,hap,4.5,3,3,"[['exc'], ['hap'], ['hap']]",181.1126,183.4461
Ses03M_script01_3_M020,,xxx,4,3,3.5,"[['exc'], ['hap'], ['exc', 'hap']]",177.9425,181.6575
Ses03M_script01_3_F020,,hap,4,4.5,4,"[['exc'], ['hap'], ['fru', 'hap']]",183.4897,190.0102
Ses03M_script01_3_M021,,hap,4,2.5,3.5,"[['exc'], ['hap'], ['hap']]",190.9697,197.0104
Ses03M_script01_3_F021,,hap,3.5,3,3,"[['exc'], ['hap'], ['hap']]",196.8578,200.8268
Ses03M_script01_3_M022,,xxx,3,3,2.5,"[['exc'], ['hap'], ['neu']]",200.5869,202.975
Ses03M_script01_3_F022,,xxx,3.5,3.5,4,"[['exc'], ['hap'], ['neu']]",202.4623,207.2382
Ses03M_script01_3_M023,,sad,3.5,3,2.5,"[['exc'], ['sad', 'hap'], ['sad']]",210.0732,216.97
Ses03M_script01_3_F023,,xxx,2.5,3,2.5,"[['fru'], ['sad'], ['oth']]",208.7647,210.8801
Ses03M_script01_3_F024,,xxx,2,3.5,4,"[['fea'], ['sad'], ['oth']]",216.4192,219.2324
Ses03M_script01_3_M024,,xxx,3,3.5,2.5,"[['fru'], ['sad'], ['neu']]",218.6872,221.4132
Ses03M_script01_3_F025,,xxx,2,3.5,3.5,"[['fru'], ['sad'], ['oth']]",220.759,226.9087
Ses03M_script01_3_M025,,xxx,2.5,2.5,3,"[['fru'], ['sad'], ['neu']]",226.0582,234.018
Ses03M_script01_3_F026,,xxx,2,3,2.5,"[['fru'], ['sad'], ['oth']]",233.2111,235.9371
Ses03M_script01_3_M026,,xxx,2.5,2.5,3,"[['fru'], ['sad'], ['neu']]",235.7844,238.9684
Ses03M_script01_3_F027,,xxx,2,3,3,"[['fru'], ['sad'], ['neu']]",238.3796,241.9124
Ses03M_script01_3_M027,,sad,2.5,3,3.5,"[['fru'], ['sad'], ['sad']]",243.9405,249.4578
Ses03M_script01_3_F028,,xxx,3,2.5,2.5,"[['fru'], ['sad'], ['neu']]",248.193,250.3738
Ses03M_script01_3_M028,,sad,2,2,3,"[['sad'], ['sad'], ['sad']]",250.1557,252.8162
Ses03M_script01_3_F029,,sad,2,2.5,2.5,"[['fru'], ['sad'], ['sad']]",252.7072,254.9098
Ses03M_script01_3_M029,,sad,2,2.5,3,"[['sad'], ['sad'], ['sad']]",254.1683,256.6762
Ses03M_script01_3_F030,,sad,2.5,2,3,"[['sad'], ['sad'], ['sad']]",256.2836,258.5953
Ses03M_script01_3_M030,,sad,3,2.5,3,"[['sad'], ['sad'], ['sad']]",258.2862,263.8721
Ses03M_script01_3_M031,,sad,3,2.5,3.5,"[['sad'], ['sad'], ['sad']]",264.0975,276.0196
Ses03M_script01_3_M032,,sad,2.5,2.5,4.5,"[['sad'], ['sad'], ['sad']]",276.085,286.1925
Ses03M_script01_3_M033,,sad,2.5,2.5,4.5,"[['sad'], ['sad'], ['sad']]",286.2625,297.9175
Ses03M_script01_3_M034,,sad,3,3,4.5,"[['sad'], ['sad'], ['sad']]",297.99,305.77
Ses03M_script01_3_M035,,sad,2.5,3.5,4.5,"[['sad'], ['exc'], ['sad']]",305.865,316.6907
Ses03M_script01_3_M036,,sad,2.5,3.5,4.5,"[['fru'], ['sad'], ['sad']]",316.8217,329.4952
Ses03M_script01_3_M037,,sad,2.5,3.5,4.5,"[['fru'], ['sad'], ['sad']]",329.64,341.5275
Ses03M_script01_3_M038,,sad,2,3,4,"[['fru'], ['sad'], ['sad']]",341.635,351.2996
Ses03M_script01_3_M039,,sad,3,3.5,3.5,"[['fru'], ['sad'], ['sad']]",351.365,357.7111
Ses03M_script01_3_M040,,sad,2.5,3.5,4.5,"[['sad'], ['sad', 'ang'], ['sad']]",357.8637,370.2505
Ses03M_script01_3_M041,,sad,2,3,3.5,"[['sad'], ['sad'], ['sad']]",370.3325,375.1136
Ses03M_script01_3_M042,,sad,2.5,2.5,3,"[['sad'], ['sad'], ['sad']]",375.2492,382.1793
Ses03M_script01_3_F031,,sad,2,2.5,2,"[['sad'], ['sad'], ['neu']]",382.4192,385.8212
Ses03M_script01_3_M043,,xxx,3,3,3.5,"[['sad'], ['hap'], ['neu']]",385.276,388.0673
Ses03M_script01_3_F032,,xxx,2,3.5,3.5,"[['exc'], ['sad'], ['hap']]",387.7184,394.51
Ses03M_script01_3_F033,,sad,2,4,4.5,"[['sad'], ['sad', 'ang'], ['hap']]",394.605,407.426
Ses03M_script01_3_M044,,xxx,4,3,3,"[['fru'], ['hap'], ['neu']]",404.0087,405.4917
Ses03M_script01_3_M045,,hap,4,3,4,"[['exc'], ['hap'], ['hap']]",407.0182,410.6601
Ses03M_script01_3_F034,,hap,4,3.5,3,"[['exc'], ['hap'], ['hap']]",411.0308,414.978
Ses03M_script01_3_M046,,hap,4,2,3,"[['exc'], ['hap'], ['hap']]",415.3051,417.31
Ses03M_impro05a_F000,,neu,3.5,2.5,2.5,"[['neu'], ['neu'], ['neu'], ['neu']]",5.73,7.53
Ses03M_impro05a_M000,,ang,2,4,4.5,"[['ang'], ['ang'], ['ang'], ['ang']]",7.17,11.72
Ses03M_impro05a_F001,,neu,3.5,2,2.5,"[['fru'], ['neu'], ['neu'], ['neu']]",11.22,14.59
Ses03M_impro05a_M001,,ang,1.5,4,4.5,"[['ang'], ['ang'], ['ang'], ['ang']]",13.83,17.78
Ses03M_impro05a_F002,,neu,2,2.5,3,"[['fru'], ['neu'], ['neu'], ['sur']]",17.32,22.2
Ses03M_impro05a_M002,,ang,1.5,4,4.5,"[['ang'], ['ang'], ['ang'], ['ang']]",21.76,25.02
Ses03M_impro05a_F003,,fru,2.5,3,2.5,"[['fru'], ['fru'], ['neu'], ['oth']]",24.09,27.76
Ses03M_impro05a_M003,,ang,2.5,3,4,"[['ang'], ['ang'], ['ang'], ['ang']]",26.95,28.6507
Ses03M_impro05a_F004,,fru,3,3.5,2.5,"[['fru'], ['fru'], ['neu'], ['neu']]",28.11,33.9325
Ses03M_impro05a_M004,,ang,2.5,3,3,"[['ang'], ['ang'], ['ang'], ['fru', 'dis']]",29.44,30.5
Ses03M_impro05a_M005,,ang,2.5,3,3.5,"[['ang'], ['fru'], ['ang'], ['ang']]",33.53,34.59
Ses03M_impro05a_F005,,neu,3,2.5,2,"[['fru'], ['neu'], ['neu'], ['neu']]",34.16,35.85
Ses03M_impro05a_M006,,ang,1.5,4,4.5,"[['ang'], ['ang'], ['ang'], ['sur', 'ang']]",34.94,37.05
Ses03M_impro05a_M007,,ang,1.5,4,3.5,"[['ang'], ['ang'], ['ang'], ['dis', 'ang']]",37.0975,38.98
Ses03M_impro05a_F006,,fru,3.5,2,2.5,"[['fru'], ['fru'], ['neu'], ['neu']]",38.175,42.27
Ses03M_impro05a_M008,,xxx,2,3,4.5,"[['ang'], ['fru'], ['fru', 'ang'], ['fru']]",41.19,45.365
Ses03M_impro05a_M009,,xxx,1.5,4,4.5,"[['ang'], ['fru'], ['fru', 'ang'], ['fru']]",45.4125,50.24
Ses03M_impro05a_F007,,neu,2.5,3,3,"[['fru'], ['neu'], ['neu'], ['neu']]",49.4,53.89
Ses03M_impro05a_M010,,ang,2,3.5,4,"[['ang'], ['ang'], ['fru', 'ang'], ['ang']]",53.11,55.07
Ses03M_impro05a_F008,,neu,3,2.5,3,"[['neu'], ['neu'], ['neu'], ['neu']]",54.49,57.02
Ses03M_impro05a_M011,,ang,2.5,4,3.5,"[['ang'], ['ang'], ['fru', 'ang'], ['ang']]",56.55,59.74
Ses03M_impro05a_F009,,neu,3,2.5,3,"[['fru'], ['neu'], ['neu'], ['neu']]",59.01,61.82
Ses03M_impro05a_M012,,ang,1.5,4.5,4.5,"[['ang'], ['ang'], ['ang'], ['ang']]",60.95,66.43
Ses03M_impro05a_F010,,fru,2,2.5,2.5,"[['fru'], ['fru'], ['neu'], ['neu']]",65.77,67.72
Ses03M_impro05a_M013,,ang,2,4,4.5,"[['ang'], ['ang'], ['ang'], ['ang']]",67.1,72.19
Ses03M_impro05a_F011,,neu,3,2,2,"[['fru'], ['neu'], ['neu'], ['oth']]",71.54,73.33
Ses03M_impro05a_M014,,ang,2.5,3.5,4,"[['ang'], ['sad', 'ang'], ['ang'], ['ang']]",72.64,74.1625
Ses03M_impro05a_F012,,neu,2.5,3,3,"[['fru'], ['neu'], ['neu'], ['oth']]",74.25,80.89
Ses03M_impro05a_M015,,xxx,1.5,4.5,5,"[['fru'], ['ang'], ['fru', 'ang'], ['sur', 'ang']]",79.42,83.51
Ses03M_impro05a_F013,,xxx,3,3,2.5,"[['fru'], ['fea'], ['neu'], ['fea']]",82.77,87.68
Ses03M_impro05a_M016,,ang,1.5,4.5,4.5,"[['ang'], ['ang'], ['ang'], ['ang']]",87.19,91.3275
Ses03M_impro05a_F014,,neu,3.5,2.5,2.5,"[['fru'], ['neu'], ['neu'], ['oth']]",90.9925,92.21
Ses03M_impro05a_M017,,ang,1.5,4.5,5,"[['ang'], ['ang'], ['ang'], ['ang']]",91.36,94.47
Ses03M_impro05a_F015,,fru,2.5,3,3,"[['fru'], ['fru'], ['neu'], ['neu']]",93.18,96.71
Ses03M_impro05a_M018,,ang,1,5,5,"[['ang'], ['ang'], ['ang'], ['ang']]",96.24,102.32
Ses03M_impro05a_F016,,neu,2.5,3,3,"[['fru'], ['neu'], ['neu'], ['oth']]",101.69,107.76
Ses03M_impro05a_M019,,xxx,2,4.5,4.5,"[['fru'], ['fru', 'ang'], ['ang'], ['ang']]",107.2,111.21
Ses03M_impro05a_F017,,xxx,4,3,3,"[['fru'], ['hap'], ['neu'], ['hap']]",111.21,113.51
Ses03M_impro05a_M020,,ang,2,4.5,4.5,"[['ang'], ['ang'], ['fru', 'ang'], ['ang']]",113.59,116.3
Ses03M_impro05a_F018,,ang,3,3.5,4,"[['ang'], ['ang'], ['fru', 'neu'], ['fru']]",115.88,119.74
Ses03M_impro05a_M021,,ang,1.5,4.5,4.5,"[['ang'], ['ang'], ['ang'], ['ang']]",119.01,120.88
Ses03M_impro05a_F019,,fru,3.5,2.5,2.5,"[['fru'], ['neu'], ['fru'], ['oth']]",120.34,122.94
Ses03M_impro05a_F020,,fru,3,3.5,3.5,"[['fru'], ['neu'], ['fru'], ['neu']]",122.98,129.55
Ses03M_impro05a_M022,,ang,2.5,2.5,3,"[['ang'], ['fru'], ['ang'], ['fru']]",126.79,130.58
Ses03M_impro05a_F021,,neu,3,3,2.5,"[['fru'], ['neu'], ['neu'], ['neu']]",130.13,131.39
Ses03M_impro05a_F022,,xxx,2.5,3.5,4,"[['fru'], ['ang'], ['fru', 'ang'], ['fea']]",131.41,134.295
Ses03M_impro05a_M023,,ang,1.5,4,4.5,"[['ang'], ['sur', 'ang'], ['ang'], ['sur', 'ang']]",133.9,135.21
Ses03M_impro05a_F023,,neu,3,3,3,"[['fru'], ['neu'], ['neu'], ['fea']]",134.62,139.06
Ses03M_impro05a_M024,,ang,1.5,4,4.5,"[['ang'], ['sur', 'ang'], ['ang'], ['ang']]",138.5675,140.99
Ses03M_impro05a_F024,,neu,3,3,3,"[['fru'], ['neu'], ['neu'], ['oth']]",140.49,141.87
Ses03M_impro05a_M025,,ang,2,4,4.5,"[['ang'], ['ang'], ['ang'], ['ang']]",141.2,143.71
Ses03M_impro05a_F025,,neu,3,2.5,3.5,"[['fru'], ['neu'], ['neu'], ['neu']]",143.29,145.77
Ses03M_impro05a_M026,,ang,2.5,3.5,4,"[['ang'], ['ang'], ['ang'], ['sur', 'ang']]",145.05,151.19
Ses03M_impro05a_F026,,xxx,2.5,3,3,"[['fru'], ['ang'], ['neu'], ['fru']]",149.51,152.87
Ses03M_impro05a_M027,,ang,2.5,3,3.5,"[['ang'], ['ang'], ['ang'], ['dis']]",152.29,154.61
Ses03M_impro05a_F027,,fru,2,3,2.5,"[['fru'], ['ang'], ['fru'], ['oth']]",153.89,155.71
Ses03M_impro05a_M028,,ang,2.5,3,3,"[['ang'], ['ang'], ['ang'], ['ang']]",156.045,159.485
Ses03M_impro05a_F028,,ang,2.5,2.5,3.5,"[['fru'], ['ang'], ['ang'], ['ang']]",156.69,157.98
Ses03M_impro05a_M029,,ang,3,2.5,3.5,"[['ang'], ['ang'], ['ang'], ['ang']]",160.05,162.53
Ses03M_impro05a_M030,,exc,4.5,4.5,4,"[['exc'], ['hap'], ['exc'], ['hap']]",162.76,167.4425
Ses03F_script03_2_M000,,ang,3.5,3,3.5,"[['ang'], ['ang'], ['neu']]",9.3056,14.39
Ses03F_script03_2_F000,,xxx,3.5,3,3.5,"[['fru'], ['ang'], ['oth']]",13.8388,16.61
Ses03F_script03_2_M001,,ang,2.5,3.5,3.5,"[['ang'], ['ang'], ['oth']]",16.5,20.46
Ses03F_script03_2_F001,,xxx,3,3.5,4,"[['exc'], ['ang'], ['oth']]",19.97,23.82
Ses03F_script03_2_M002,,ang,2.5,2.5,4,"[['ang'], ['ang'], ['neu']]",23.21,28.9
Ses03F_script03_2_F002,,xxx,2,3.5,4,"[['fru'], ['ang'], ['oth']]",28.21,32.86
Ses03F_script03_2_M003,,xxx,2.5,3.5,3.5,"[['fru'], ['ang'], ['neu']]",32.19,35.72
Ses03F_script03_2_F003,,xxx,2.5,3.5,4,"[['fru'], ['ang'], ['neu']]",35.07,40.52
Ses03F_script03_2_M004,,xxx,2,2.5,3.5,"[['fru'], ['ang'], ['oth']]",42.38,45.52
Ses03F_script03_2_F004,,neu,2.5,3.5,4,"[['fru'], ['neu'], ['neu']]",45.39,48.8425
Ses03F_script03_2_M005,,ang,2,3,4,"[['ang'], ['ang'], ['oth']]",48.425,51.1
Ses03F_script03_2_F005,,xxx,2.5,3.5,3.5,"[['fru'], ['neu'], ['oth']]",50.59,52.065
Ses03F_script03_2_M006,,xxx,2,3.5,4.5,"[['ang'], ['sur'], ['oth']]",51.59,53.3
Ses03F_script03_2_F006,,xxx,2.5,4.5,4,"[['fru'], ['ang'], ['neu']]",52.65,55.9025
Ses03F_script03_2_M007,,ang,2,3,4,"[['ang'], ['ang'], ['oth']]",55.415,57.2475
Ses03F_script03_2_F007,,xxx,2.5,3.5,4.5,"[['fru'], ['ang'], ['neu']]",56.705,61.09
Ses03F_script03_2_M008,,ang,2,3,3.5,"[['ang'], ['ang'], ['oth']]",60.685,64.375
Ses03F_script03_2_F008,,neu,2.5,3,3.5,"[['fru'], ['neu'], ['neu']]",63.8825,66.31
Ses03F_script03_2_M009,,neu,3.5,3,3,"[['fru'], ['neu'], ['neu']]",73.02,75.72
Ses03F_script03_2_F009,,xxx,2,4,4,"[['fru'], ['neu'], ['oth']]",75.4,78.3725
Ses03F_script03_2_M010,,neu,4,2.5,3,"[['fru'], ['neu'], ['neu']]",79.99,85.21
Ses03F_script03_2_F010,,xxx,2,2,2.5,"[['fru'], ['neu'], ['sad']]",84.785,86.165
Ses03F_script03_2_M011,,neu,3,3.5,3,"[['fru', 'sad'], ['neu'], ['neu']]",86.15,88.44
Ses03F_script03_2_F011,,xxx,2,3,3.5,"[['fru'], ['ang'], ['oth']]",87.8625,91.2
Ses03F_script03_2_M012,,neu,3,3.5,3,"[['fru', 'sad'], ['neu'], ['neu']]",90.7625,94.295
Ses03F_script03_2_F012,,xxx,2,3.5,4,"[['fru'], ['ang'], ['oth']]",93.79,98.04
Ses03F_script03_2_M013,,xxx,2.5,3,4.5,"[['fru'], ['ang'], ['oth']]",97.44,104.335
Ses03F_script03_2_F013,,neu,2,3.5,3.5,"[['fru'], ['neu'], ['neu']]",103.8975,106.04
Ses03F_script03_2_M014,,ang,2,3,4.5,"[['ang'], ['ang'], ['oth']]",105.47,110.34
Ses03F_script03_2_F014,,ang,2,2.5,4,"[['fru'], ['ang'], ['ang']]",109.57,111.47
Ses03F_script03_2_M015,,ang,2,3,4.5,"[['ang'], ['ang'], ['fru']]",110.9875,112.62
Ses03F_script03_2_F015,,ang,1.5,3,4.5,"[['ang'], ['ang'], ['oth']]",112.24,113.62
Ses03F_script03_2_M016,,ang,2.5,2.5,3,"[['ang'], ['ang'], ['fru']]",113.9625,115.085
Ses03F_script03_2_M017,,ang,4,2.5,3,"[['ang'], ['ang'], ['neu']]",118.235,120.465
Ses03F_script03_2_F016,,xxx,3,2.5,3.5,"[['fru'], ['ang'], ['neu']]",120.31,124.67
Ses03F_script03_2_M018,,xxx,3,2.5,3,"[['fru'], ['ang'], ['neu']]",124.34,128.03
Ses03F_script03_2_F017,,neu,3,3,3.5,"[['fru'], ['neu'], ['neu']]",127.4075,132.95
Ses03F_script03_2_M019,,xxx,3,3.5,3.5,"[['fru'], ['ang'], ['neu']]",133.39,136.365
Ses03F_script03_2_F018,,ang,2,2.5,3.5,"[['ang'], ['ang'], ['oth']]",137.0025,138.42
Ses03F_script03_2_M020,,ang,3,3.5,3,"[['ang'], ['ang'], ['oth']]",137.92,139.31
Ses03F_script03_2_F019,,xxx,2,3.5,4,"[['ang'], ['fru'], ['oth']]",138.8625,142.25
Ses03F_script03_2_M021,,xxx,2.5,3.5,3.5,"[['fru'], ['ang'], ['oth']]",145.63,150.93
Ses03F_script03_2_F020,,xxx,3,3,4,"[['fru'], ['ang'], ['neu']]",150.31,153.92
Ses03F_script03_2_M022,,xxx,2,3.5,4.5,"[['fru'], ['ang'], ['oth']]",153.185,156.3475
Ses03F_script03_2_F021,,fru,1.5,3,4.5,"[['fru'], ['ang'], ['fru']]",155.94,158.4625
Ses03F_script03_2_M023,,xxx,2,3,4.5,"[['fru'], ['ang'], ['neu']]",157.8075,162.2025
Ses03F_script03_2_F022,,fru,1.5,3.5,5,"[['fru'], ['ang'], ['fru']]",161.8585,163.32
Ses03F_script03_2_M024,,ang,2,3.5,4.5,"[['ang'], ['ang'], ['fru']]",162.94,164.12
Ses03F_script03_2_F023,,ang,1,4.5,5,"[['ang'], ['ang'], ['fru', 'ang']]",163.67,170.02
Ses03F_script03_2_M025,,xxx,2,2.5,2.5,"[['ang'], ['fru'], ['neu']]",170.73,173.07
Ses03F_script03_2_M026,,ang,3,2.5,4.5,"[['ang'], ['ang'], ['neu']]",174.1875,178.87
Ses03F_script03_2_F024,,xxx,4,2.5,3.5,"[['fru'], ['ang'], ['neu']]",177.9925,180.95
Ses03F_script03_2_M027,,ang,3.5,3,4,"[['ang'], ['ang'], ['oth']]",180.64,185.3875
Ses03F_script03_2_F025,,fru,1.5,2.5,4.5,"[['fru'], ['ang'], ['fru']]",184.93,187.5075
Ses03F_script03_2_M028,,ang,3,3,4,"[['ang'], ['ang'], ['oth']]",187.0375,194.73
Ses03F_script03_2_F026,,ang,1.5,4,4.5,"[['ang'], ['ang'], ['fru']]",194.32,198.11
Ses03F_script03_2_M029,,ang,1.5,3.5,4.5,"[['ang'], ['ang'], ['ang']]",197.3075,199.69
Ses03F_script03_2_F027,,fru,2,2.5,4,"[['fru'], ['ang'], ['fru']]",198.9675,200.97
Ses03F_script03_2_M030,,ang,1.5,3.5,4.5,"[['ang'], ['ang'], ['ang']]",200.52,207.58
Ses03F_script03_2_F028,,xxx,2,3.5,4.5,"[['fru'], ['ang'], ['oth']]",207.145,212.2362
Ses03F_script03_2_M031,,xxx,2,3.5,4.5,"[['fru'], ['ang'], ['oth']]",211.23,222.0875
Ses03F_script03_2_F029,,fru,1.5,3.5,4.5,"[['fru'], ['fru'], ['fru', 'ang']]",214.65,218.5425
Ses03F_script03_2_F030,,fru,2,3,4,"[['fru'], ['fru'], ['fru']]",221.9,225.8411
Ses03F_script03_2_M032,,xxx,3,2.5,3.5,"[['fru'], ['ang'], ['oth']]",232.41,235.63
Ses03F_script03_2_F031,,xxx,3,2,3,"[['fru'], ['ang'], ['neu']]",235.96,237.95
Ses03F_script03_2_M033,,xxx,2.5,2.5,3.5,"[['fru'], ['ang'], ['oth']]",238.0575,241.35
Ses03F_script03_2_F032,,xxx,2,3,4.5,"[['fru'], ['ang'], ['oth']]",240.88,245.46
Ses03F_script03_2_M034,,ang,2.5,2.5,3,"[['ang'], ['ang'], ['oth']]",244.78,247.4375
Ses03F_script03_2_F033,,xxx,2,2.5,3.5,"[['fru'], ['ang'], ['oth']]",247.035,248.98
Ses03F_script03_2_M035,,neu,2,2.5,3.5,"[['fru'], ['neu'], ['neu']]",248.98,251.3625
Ses03F_script03_2_F034,,xxx,2.5,2.5,3.5,"[['fru'], ['ang'], ['oth']]",250.8575,253.31
Ses03F_script03_2_M036,,xxx,2,3,4,"[['fru'], ['neu'], ['oth']]",252.0725,254.09
Ses03F_script03_2_F035,,ang,2,3.5,3.5,"[['ang'], ['ang'], ['ang']]",254.4,256.8
Ses03F_script03_2_M037,,xxx,2,2.5,3.5,"[['fru'], ['neu'], ['ang']]",260.03,261.875
Ses03F_script03_2_F036,,xxx,2,3,4,"[['ang'], ['fru'], ['fru', 'ang']]",261.465,268.54
Ses03F_script03_2_M038,,ang,2,2.5,3,"[['fru'], ['ang'], ['ang']]",271.2375,272.7375
Ses03F_script03_2_F037,,ang,1.5,3.5,4.5,"[['ang'], ['ang'], ['ang']]",272.9175,276.565
Ses03F_script03_2_M039,,ang,1.5,3,4,"[['fru'], ['ang'], ['ang']]",276.0875,279.99
Ses03F_script03_2_F038,,ang,1.5,4.5,4.5,"[['ang'], ['ang'], ['ang']]",278.88,285.51
Ses03F_script03_2_M040,,ang,2,3.5,3.5,"[['fru'], ['ang'], ['ang']]",284.8575,287.35
Ses03F_script03_2_F039,,ang,1,4.5,5,"[['ang'], ['ang'], ['ang']]",286.71,292.27
Ses03F_script03_2_M041,,ang,1.5,4,4.5,"[['ang'], ['ang'], ['ang']]",291.3775,298.7125
Ses03F_script03_2_F040,,ang,1.5,3.5,4.5,"[['ang'], ['ang'], ['ang']]",298.23,302.63
Ses03F_script03_2_M042,,ang,2,3.5,4.5,"[['ang'], ['ang'], ['ang']]",302.325,307.6675
Ses03F_script03_2_F041,,ang,1.5,3,4,"[['ang'], ['ang'], ['ang']]",304.4437,306
Ses03F_script03_2_F042,,ang,1,4.5,5,"[['ang'], ['ang'], ['ang']]",306,316.74
Ses03F_script03_2_M043,,ang,1,4.5,5,"[['ang'], ['ang'], ['ang']]",312.0055,316.63
Ses03F_script03_2_M044,,ang,1.5,4.5,5,"[['ang'], ['ang'], ['ang']]",316.63,327.67
Ses03F_script03_2_F043,,ang,1,3.5,5,"[['ang'], ['ang'], ['ang']]",327.175,331.1
Ses03F_impro08_M000,,ang,1.5,3.5,4.5,"[['fru'], ['ang'], ['ang'], ['ang']]",4.92,9.77
Ses03F_impro08_F000,,neu,3,2.5,2.5,"[['neu'], ['neu'], ['neu'], ['neu']]",9.42,11.32
Ses03F_impro08_M001,,xxx,1.5,3.5,4.5,"[['ang'], ['fru'], ['fru', 'ang'], ['ang']]",10.75,14.73
Ses03F_impro08_M002,,xxx,2,4,4.5,"[['ang'], ['fru'], ['fru', 'ang'], ['ang']]",14.73,19.27
Ses03F_impro08_F001,,neu,3,2.5,2,"[['neu'], ['neu'], ['neu'], ['neu']]",14.49,15.68
Ses03F_impro08_F002,,neu,3,2.5,3,"[['neu'], ['fru'], ['neu'], ['oth']]",18.88,24.71
Ses03F_impro08_M003,,xxx,1.5,4,4.5,"[['fru'], ['ang'], ['fru', 'ang'], ['ang']]",23.28,26.11
Ses03F_impro08_F003,,neu,2.5,2.5,3.5,"[['neu'], ['fru'], ['neu'], ['neu']]",24.93,29.75
Ses03F_impro08_M004,,fru,1.5,3.5,4.5,"[['fru'], ['ang'], ['fru'], ['fru']]",29.48,38.02
Ses03F_impro08_F004,,neu,3,2,2.5,"[['neu'], ['neu'], ['neu'], ['neu']]",37.44,41.09
Ses03F_impro08_M005,,xxx,2.5,3.5,4,"[['fru'], ['ang'], ['fru', 'ang'], ['ang']]",39.5,40.75
Ses03F_impro08_F005,,neu,3,2.5,3,"[['neu'], ['neu'], ['neu'], ['neu']]",41.1475,47.86
Ses03F_impro08_M006,,ang,1.5,4.5,4.5,"[['ang'], ['ang'], ['fru', 'ang'], ['ang']]",47.79,52.77
Ses03F_impro08_F006,,neu,3,3,3.5,"[['neu'], ['neu'], ['neu'], ['oth']]",47.87,50.61
Ses03F_impro08_F007,,neu,3,3,3,"[['neu'], ['neu'], ['neu'], ['neu']]",51.94,54.64
Ses03F_impro08_F008,,neu,3,3,2.5,"[['neu'], ['neu'], ['neu'], ['neu']]",54.64,58.9025
Ses03F_impro08_M007,,ang,2.5,3,3,"[['ang'], ['ang'], ['fru', 'ang'], ['ang']]",56.8557,58.79
Ses03F_impro08_M008,,ang,1.5,4.5,4.5,"[['ang'], ['ang'], ['fru', 'ang'], ['sur', 'ang']]",58.79,63.87
Ses03F_impro08_F009,,neu,3,2.5,4,"[['neu'], ['neu'], ['neu'], ['neu']]",62.68,69.22
Ses03F_impro08_M009,,ang,1.5,3.5,4.5,"[['ang'], ['sur', 'ang'], ['fru', 'ang'], ['sur', 'ang']]",68.69,71.58
Ses03F_impro08_F010,,neu,3.5,3.5,4,"[['neu'], ['fru'], ['neu'], ['oth']]",70.81,81.65
Ses03F_impro08_M010,,ang,1.5,3.5,4,"[['ang'], ['sur', 'ang'], ['fru', 'ang'], ['ang']]",73.77,76.9
Ses03F_impro08_M011,,ang,2,2.5,3.5,"[['ang'], ['ang'], ['fru', 'ang'], ['ang']]",76.99,81.6925
Ses03F_impro08_M012,,ang,3,2.5,2.5,"[['ang'], ['ang'], ['fru'], ['dis']]",81.75,83.41
Ses03F_impro08_F011,,neu,3,3,2.5,"[['neu'], ['neu'], ['neu'], ['neu']]",81.76,83.845
